Liverpool,Anfield
Aston Villa,Villa Park
Brighton,American Express Stadium
Sunderland,Stadium of Light
Tottenham,Tottenham Hotspur Stadium
Wolverhampton Wanderers,Molineux Stadium
Nottingham Forest,The City Ground
Chelsea,Stamford Bridge
Manchester United,Old Trafford
Leeds,Elland Road
West Ham,London Stadium
Manchester City,Etihad Stadium
Bournemouth,Vitality Stadium
Brentford,Gtech Community Stadium
Burnley,Turf Moor
Arsenal,Emirates Stadium
Crystal Palace,Selhurst Park
Everton,Hill Dickinson Stadium
Fulham,Craven Cottage
Newcastle United,St. James' Park"